date,day_of_week,is_weekend,cone_size,flavor,temperature,daily_sales
2021-01-01,Friday,0,Small,Chocolate,21.1,25
2021-01-01,Friday,0,Small,Strawberry,21.1,23
2021-01-01,Friday,0,Medium,Chocolate,21.1,19
2021-01-01,Friday,0,Medium,Strawberry,21.1,15
2021-01-01,Friday,0,Large,Chocolate,21.1,15
2021-01-01,Friday,0,Large,Strawberry,21.1,11
2021-01-02,Saturday,1,Small,Chocolate,19.2,3
2021-01-02,Saturday,1,Small,Strawberry,19.2,2
2021-01-02,Saturday,1,Medium,Chocolate,19.2,4
2021-01-02,Saturday,1,Medium,Strawberry,19.2,0
2021-01-02,Saturday,1,Large,Chocolate,19.2,0
2021-01-02,Saturday,1,Large,Strawberry,19.2,0
2021-01-03,Sunday,1,Small,Chocolate,18.1,2
2021-01-03,Sunday,1,Small,Strawberry,18.1,1
2021-01-03,Sunday,1,Medium,Chocolate,18.1,6
2021-01-03,Sunday,1,Medium,Strawberry,18.1,2
2021-01-03,Sunday,1,Large,Chocolate,18.1,0
2021-01-03,Sunday,1,Large,Strawberry,18.1,0
2021-01-04,Monday,0,Small,Chocolate,19.1,2
2021-01-04,Monday,0,Small,Strawberry,19.1,4
2021-01-04,Monday,0,Medium,Chocolate,19.1,2
2021-01-04,Monday,0,Medium,Strawberry,19.1,2
2021-01-04,Monday,0,Large,Chocolate,19.1,1
2021-01-04,Monday,0,Large,Strawberry,19.1,5
2021-01-05,Tuesday,0,Small,Chocolate,20.2,13
2021-01-05,Tuesday,0,Small,Strawberry,20.2,6
2021-01-05,Tuesday,0,Medium,Chocolate,20.2,9
2021-01-05,Tuesday,0,Medium,Strawberry,20.2,3
2021-01-05,Tuesday,0,Large,Chocolate,20.2,3
2021-01-05,Tuesday,0,Large,Strawberry,20.2,5
2021-01-06,Wednesday,0,Small,Chocolate,21.7,16
2021-01-06,Wednesday,0,Small,Strawberry,21.7,12
2021-01-06,Wednesday,0,Medium,Chocolate,21.7,10
2021-01-06,Wednesday,0,Medium,Strawberry,21.7,9
2021-01-06,Wednesday,0,Large,Chocolate,21.7,7
2021-01-06,Wednesday,0,Large,Strawberry,21.7,8
2021-01-07,Thursday,0,Small,Chocolate,20.9,8
2021-01-07,Thursday,0,Small,Strawberry,20.9,5
2021-01-07,Thursday,0,Medium,Chocolate,20.9,4
2021-01-07,Thursday,0,Medium,Strawberry,20.9,6
2021-01-07,Thursday,0,Large,Chocolate,20.9,5
2021-01-07,Thursday,0,Large,Strawberry,20.9,5
2021-01-08,Friday,0,Small,Chocolate,18.6,5
2021-01-08,Friday,0,Small,Strawberry,18.6,5
2021-01-08,Friday,0,Medium,Chocolate,18.6,2
2021-01-08,Friday,0,Medium,Strawberry,18.6,2
2021-01-08,Friday,0,Large,Chocolate,18.6,0
2021-01-08,Friday,0,Large,Strawberry,18.6,0
2021-01-09,Saturday,1,Small,Chocolate,21.9,32
2021-01-09,Saturday,1,Small,Strawberry,21.9,28
2021-01-09,Saturday,1,Medium,Chocolate,21.9,26
2021-01-09,Saturday,1,Medium,Strawberry,21.9,19
2021-01-09,Saturday,1,Large,Chocolate,21.9,17
2021-01-09,Saturday,1,Large,Strawberry,21.9,16
2021-01-10,Sunday,1,Small,Chocolate,20.3,10
2021-01-10,Sunday,1,Small,Strawberry,20.3,14
2021-01-10,Sunday,1,Medium,Chocolate,20.3,12
2021-01-10,Sunday,1,Medium,Strawberry,20.3,9
2021-01-10,Sunday,1,Large,Chocolate,20.3,8
2021-01-10,Sunday,1,Large,Strawberry,20.3,2
2021-01-11,Monday,0,Small,Chocolate,19.9,9
2021-01-11,Monday,0,Small,Strawberry,19.9,3
2021-01-11,Monday,0,Medium,Chocolate,19.9,3
2021-01-11,Monday,0,Medium,Strawberry,19.9,2
2021-01-11,Monday,0,Large,Chocolate,19.9,4
2021-01-11,Monday,0,Large,Strawberry,19.9,3
2021-01-12,Tuesday,0,Small,Chocolate,19.3,4
2021-01-12,Tuesday,0,Small,Strawberry,19.3,5
2021-01-12,Tuesday,0,Medium,Chocolate,19.3,2
2021-01-12,Tuesday,0,Medium,Strawberry,19.3,2
2021-01-12,Tuesday,0,Large,Chocolate,19.3,1
2021-01-12,Tuesday,0,Large,Strawberry,19.3,0
2021-01-13,Wednesday,0,Small,Chocolate,21.0,12
2021-01-13,Wednesday,0,Small,Strawberry,21.0,10
2021-01-13,Wednesday,0,Medium,Chocolate,21.0,7
2021-01-13,Wednesday,0,Medium,Strawberry,21.0,7
2021-01-13,Wednesday,0,Large,Chocolate,21.0,5
2021-01-13,Wednesday,0,Large,Strawberry,21.0,3
2021-01-14,Thursday,0,Small,Chocolate,20.1,11
2021-01-14,Thursday,0,Small,Strawberry,20.1,6
2021-01-14,Thursday,0,Medium,Chocolate,20.1,6
2021-01-14,Thursday,0,Medium,Strawberry,20.1,4
2021-01-14,Thursday,0,Large,Chocolate,20.1,0
2021-01-14,Thursday,0,Large,Strawberry,20.1,3
2021-01-15,Friday,0,Small,Chocolate,20.6,14
2021-01-15,Friday,0,Small,Strawberry,20.6,12
2021-01-15,Friday,0,Medium,Chocolate,20.6,11
2021-01-15,Friday,0,Medium,Strawberry,20.6,7
2021-01-15,Friday,0,Large,Chocolate,20.6,9
2021-01-15,Friday,0,Large,Strawberry,20.6,7
2021-01-16,Saturday,1,Small,Chocolate,22.1,24
